Column 1, Column 2, Column 3, Column 4, Column 5
stop,I_Rb_0/
32.8467,0,0.0106083,0.0106083,9.36534
24.927,0,0.0169029,0.0169029,9.36567
24.8227,0,0.0119983,0.0119983,9.36164
23.4159,0,0.00536118,0.00536118,36.74
9.70806,0,0.0694944,0.0694944,36.9271
9.42624,0,0.0256892,0.0256892,36.923
18.4467,0,0.00521107,0.00521107,18.5205
18.0704,0,-0.0078763,-0.0078763,18.4879
27.9215,0,0.000450677,0.000450677,18.5056
17.6061,0,0.00978853,0.00978853,45.8502
17.1828,0,0.0227887,0.0227887,45.8595
27.3908,0,0.00726695,0.00726695,45.8849
32.6801,0,0.00614842,0.00614842,4.58442
28.783,0,0.0177061,0.0177061,4.5848
32.5023,0,0.00512669,0.00512669,4.56804
19.0023,0,0.0240454,0.0240454,31.9495
10.8207,0,-0.018985,-0.018985,31.8783
18.5989,0,0.0166388,0.0166388,31.9511
24.1812,0,-0.00635209,-0.00635209,23.2862
18.3839,0,-0.0657093,-0.0657093,23.2357
23.5603,0,-0.0118175,-0.0118175,23.2953
28.5705,0,0.0118608,0.0118608,50.672
23.8355,0,0.0163826,0.0163826,50.6827
28.0494,0,0.00789431,0.00789431,50.6723
29.1358,0,0.0132403,0.0132403,9.50822
28.9249,0,0.00910987,0.00910987,9.50034
35.9419,0,0.0086988,0.0086988,9.50926
17.998,0,0.0201699,0.0201699,36.8473
17.609,0,0.0358719,0.0358719,36.8747
27.7444,0,0.00644578,0.00644578,36.889
29.0234,0,0.00941241,0.00941241,18.3525
19.6884,0,0.0517712,0.0517712,18.3599
19.5431,0,0.0195338,0.0195338,18.3406
28.368,0,0.00332196,0.00332196,45.7376
18.8095,0,0.0412856,0.0412856,45.7765
18.5001,0,0.0261073,0.0261073,45.6982
32.3313,0,0.0135182,0.0135182,4.91537
28.2525,0,0.0153881,0.0153881,4.91327
31.9331,0,0.011513,0.011513,4.91554
17.8933,0,-0.00155736,-0.00155736,32.2772
17.1724,0,-0.00263212,-0.00263212,32.2946
18.737,0,0.0253791,0.0253791,22.9475
10.4852,0,0.065316,0.065316,22.9409
18.3974,0,-0.00680144,-0.00680144,22.9204
23.8494,0,-0.00143348,-0.00143348,50.3652
18.0355,0,0.0180357,0.0180357,50.359
23.5134,0,0.00124236,0.00124236,50.3612
,,,,
29.3506,0,0.0110928,0.0110928,0.464652
25.5793,0,0.0152847,0.0152847,0.465234
30.2531,0,0.0120977,0.0120977,0.462917
19.5426,0,-0.0176898,-0.0176898,27.844
13.2596,0,-0.236683,-0.236683,27.9026
20.8258,0,-0.00419306,-0.00419306,27.8458
19.1628,0,0.0204121,0.0204121,27.4124
9.51007,0,0.0347066,0.0347066,27.2394
16.6044,0,-0.0236644,-0.0236644,27.3712
28.7541,0,-0.00208441,-0.00208441,54.8002
23.3613,0,0.0198906,0.0198906,54.816
27.0431,0,-0.00384535,-0.00384535,54.7791
31.3591,0,0.00860434,0.00860434,13.9614
23.278,0,0.0189238,0.0189238,13.9582
23.8695,0,0.00018279,0.00018279,13.9403
26.5665,0,0.00814435,0.00814435,41.3433
16.1483,0,-0.0124949,-0.0124949,41.2834
16.969,0,0.0158308,0.0158308,41.2808
22.1874,0,0.0212036,0.0212036,13.8977
21.1014,0,0.0151601,0.0151601,13.8963
29.4233,0,0.0134011,0.0134011,13.9068
14.7287,0,0.0825253,0.0825253,41.3527
12.7538,0,0.0800106,0.0800106,41.1954
24.1662,0,0.00735843,0.00735843,41.2958
31.1248,0,0.00445953,0.00445953,9.06205
27.4986,0,0.0276907,0.0276907,9.06694
31.8248,0,0.0071867,0.0071867,9.04704
20.6116,0,0.0204465,0.0204465,36.416
14.1856,0,0.0651656,0.0651656,36.4492
21.5349,0,-0.00945785,-0.00945785,36.3866
28.6564,0,-0.00516515,-0.00516515,18.8002
23.3635,0,-0.124074,-0.124074,18.7954
27.1744,0,-0.0138959,-0.0138959,18.8077
28.425,0,0.00823626,0.00823626,46.1881
23.1165,0,0.00951603,0.00951603,46.2249
26.9131,0,0.0069489,0.0069489,46.1904
34.9222,0,0.0133041,0.0133041,4.88256
27.7985,0,0.0205319,0.0205319,4.87858
28.1836,0,0.0147499,0.0147499,4.87741
22.251,0,0.0183263,0.0183263,32.264
7.2283,0,0.170872,0.170872,32.5568
8.59023,0,0.0214157,0.0214157,32.5565
14.3807,0,0.00855908,0.00855908,23.0038
12.8568,0,-0.0162034,-0.0162034,22.9688
24.3159,0,0.00229066,0.00229066,22.991
20.4838,0,0.00186633,0.00186633,50.3208
19.4881,0,0.0245414,0.0245414,50.3588
28.4118,0,0.00888964,0.00888964,50.3685
